service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
t386,1,1,1,1,0,1,1,20170101,20240101
t387,1,1,1,1,1,1,1,20170101,20240101
t388,1,1,1,1,1,1,1,20170101,20240101
t389,1,1,1,1,0,1,1,20170101,20240101
t390,1,1,1,1,1,1,1,20170101,20240101
t391,1,1,1,1,0,1,1,20170101,20240101
t392,1,1,1,1,1,1,1,20170101,20240101
t393,1,1,1,1,1,1,1,20170101,20240101
t394,1,1,1,1,0,1,1,20170101,20240101
t395,1,1,1,1,1,1,1,20170101,20240101
t396,1,1,1,1,0,1,1,20170101,20240101
t397,1,1,1,1,1,1,1,20170101,20240101
t398,1,1,1,1,0,1,1,20170101,20240101
t399,0,0,0,0,1,0,0,20170101,20240101
t400,1,1,1,1,1,1,1,20170101,20240101
t401,1,1,1,1,0,1,1,20170101,20240101
t402,1,1,1,1,1,1,1,20170101,20240101
t403,1,1,1,1,0,1,1,20170101,20240101
t404,0,0,0,0,1,0,0,20170101,20240101
t405,1,1,1,1,1,1,1,20170101,20240101
t406,1,1,1,1,0,1,1,20170101,20240101
t407,1,1,1,1,0,1,1,20170101,20240101
t408,1,1,1,1,1,1,1,20170101,20240101
t409,1,1,1,1,0,1,1,20170101,20240101
t410,1,1,1,1,1,1,1,20170101,20240101
t411,1,1,1,1,0,1,1,20170101,20240101
t412,1,1,1,1,1,1,1,20170101,20240101
t413,1,1,1,1,1,1,1,20170101,20240101
t414,1,1,1,1,1,1,1,20170101,20240101
t415,1,1,1,1,0,1,1,20170101,20240101
t416,0,0,0,0,1,0,0,20170101,20240101
t417,1,1,1,1,0,1,1,20170101,20240101
t418,1,1,1,1,1,1,1,20170101,20240101
t419,1,1,1,1,1,1,1,20170101,20240101
t420,1,1,1,1,1,1,1,20170101,20240101
t421,1,1,1,1,0,1,1,20170101,20240101
t422,1,1,1,1,0,1,1,20170101,20240101
t423,0,0,0,0,1,0,0,20170101,20240101
t424,1,1,1,1,0,1,1,20170101,20240101
t425,1,1,1,1,1,1,1,20170101,20240101
t426,1,1,1,1,0,1,1,20170101,20240101
t427,1,1,1,1,1,1,1,20170101,20240101
t428,1,1,1,1,0,1,1,20170101,20240101
t429,0,0,0,0,1,0,0,20170101,20240101
t430,1,1,1,1,0,1,1,20170101,20240101
t431,1,1,1,1,1,1,1,20170101,20240101
t432,1,1,1,1,0,1,1,20170101,20240101
t433,1,1,1,1,0,1,1,20170101,20240101
t434,0,0,0,0,1,0,0,20170101,20240101
t435,1,1,1,1,1,1,1,20170101,20240101
t436,1,1,1,1,0,1,1,20170101,20240101
t437,1,1,1,1,0,1,1,20170101,20240101
t438,0,0,0,0,1,0,0,20170101,20240101
t439,1,1,1,1,0,1,1,20170101,20240101
t440,1,1,1,1,1,1,1,20170101,20240101
t441,1,1,1,1,1,1,1,20170101,20240101
t442,1,1,1,1,0,1,1,20170101,20240101
t443,0,0,0,0,1,0,0,20170101,20240101
t444,1,1,1,1,0,1,1,20170101,20240101
t445,0,0,0,0,1,0,0,20170101,20240101
t446,1,1,1,1,0,1,1,20170101,20240101
t447,1,1,1,1,1,1,1,20170101,20240101
t448,1,1,1,1,0,1,1,20170101,20240101
t449,1,1,1,1,1,1,1,20170101,20240101
t450,1,1,1,1,0,1,1,20170101,20240101
t451,1,1,1,1,0,1,1,20170101,20240101
t452,0,0,0,0,1,0,0,20170101,20240101
t453,1,1,1,1,0,1,1,20170101,20240101
t454,0,0,0,0,1,0,0,20170101,20240101
t455,1,1,1,1,1,1,1,20170101,20240101
t456,1,1,1,1,0,1,1,20170101,20240101
t457,1,1,1,1,1,1,1,20170101,20240101
t458,1,1,1,1,0,1,1,20170101,20240101
t459,1,1,1,1,0,1,1,20170101,20240101
t460,1,1,1,1,1,1,1,20170101,20240101
t461,1,1,1,1,1,1,1,20170101,20240101
t462,1,1,1,1,1,1,1,20170101,20240101
t463,1,1,1,1,1,1,1,20170101,20240101
t464,1,1,1,1,1,1,1,20170101,20240101
t465,1,1,1,1,1,1,1,20170101,20240101
t466,1,1,1,1,0,1,1,20170101,20240101
t467,1,1,1,1,1,1,1,20170101,20240101
t468,1,1,1,1,1,1,1,20170101,20240101
t469,1,1,1,1,1,1,1,20170101,20240101
t470,1,1,1,1,0,1,1,20170101,20240101
t471,1,1,1,1,1,1,1,20170101,20240101
t472,1,1,1,1,1,1,1,20170101,20240101
t473,1,1,1,1,1,1,1,20170101,20240101
t474,1,1,1,1,1,1,1,20170101,20240101
t475,1,1,1,1,1,1,1,20170101,20240101
t476,1,1,1,1,1,1,1,20170101,20240101
t477,1,1,1,1,0,1,1,20170101,20240101
t478,1,1,1,1,1,1,1,20170101,20240101
t479,1,1,1,1,1,1,1,20170101,20240101
t480,1,1,1,1,1,1,1,20170101,20240101
